Received trajectory - Linear velocity: 0.475941, Angular velocity: 0.0389504
Received trajectory - Linear velocity: 0.476291, Angular velocity: 0.0142811
Received trajectory - Linear velocity: 0.476685, Angular velocity: -0.00880008
Received trajectory - Linear velocity: 0.477123, Angular velocity: -0.0300969
Received trajectory - Linear velocity: 0.477601, Angular velocity: -0.0496018
Received trajectory - Linear velocity: 0.478099, Angular velocity: -0.0670824
Received trajectory - Linear velocity: 0.478613, Angular velocity: -0.0824297
Received trajectory - Linear velocity: 0.479142, Angular velocity: -0.095638
Received trajectory - Linear velocity: 0.479688, Angular velocity: -0.106575
Received trajectory - Linear velocity: 0.48025, Angular velocity: -0.115184
Received trajectory - Linear velocity: 0.480828, Angular velocity: -0.121468
Received trajectory - Linear velocity: 0.481422, Angular velocity: -0.125489
Received trajectory - Linear velocity: 0.482027, Angular velocity: -0.127268
Received trajectory - Linear velocity: 0.482633, Angular velocity: -0.126824
Received trajectory - Linear velocity: 0.48324, Angular velocity: -0.124444
Received trajectory - Linear velocity: 0.483847, Angular velocity: -0.120223
Received trajectory - Linear velocity: 0.484455, Angular velocity: -0.114199
Received trajectory - Linear velocity: 0.485064, Angular velocity: -0.106843
Received trajectory - Linear velocity: 0.485673, Angular velocity: -0.0982965
Received trajectory - Linear velocity: 0.486283, Angular velocity: -0.0886144
Received trajectory - Linear velocity: 0.486888, Angular velocity: -0.0783747
Received trajectory - Linear velocity: 0.487485, Angular velocity: -0.0677334
Received trajectory - Linear velocity: 0.488072, Angular velocity: -0.0567507
Received trajectory - Linear velocity: 0.488651, Angular velocity: -0.0459764
Received trajectory - Linear velocity: 0.489221, Angular velocity: -0.0355428
Received trajectory - Linear velocity: 0.489783, Angular velocity: -0.0255015
Received trajectory - Linear velocity: 0.490336, Angular velocity: -0.0162599
Received trajectory - Linear velocity: 0.490878, Angular velocity: -0.00790492
Received trajectory - Linear velocity: 0.491397, Angular velocity: -0.000460434
Received trajectory - Linear velocity: 0.491889, Angular velocity: 0.00591025
Received trajectory - Linear velocity: 0.492356, Angular velocity: 0.0111762
Received trajectory - Linear velocity: 0.492797, Angular velocity: 0.0153485
Received trajectory - Linear velocity: 0.493211, Angular velocity: 0.0184931
Received trajectory - Linear velocity: 0.4936, Angular velocity: 0.0206212
Received trajectory - Linear velocity: 0.493962, Angular velocity: 0.0217805
Received trajectory - Linear velocity: 0.494294, Angular velocity: 0.0222245
Received trajectory - Linear velocity: 0.494586, Angular velocity: 0.02199
Received trajectory - Linear velocity: 0.494837, Angular velocity: 0.0211535
Received trajectory - Linear velocity: 0.495048, Angular velocity: 0.0200722
Received trajectory - Linear velocity: 0.495219, Angular velocity: 0.0187916
Received trajectory - Linear velocity: 0.495349, Angular velocity: 0.0173449
Received trajectory - Linear velocity: 0.495439, Angular velocity: 0.0158693
Received trajectory - Linear velocity: 0.495489, Angular velocity: 0.0143801
Received trajectory - Linear velocity: 0.495492, Angular velocity: 0.0128671
Received trajectory - Linear velocity: 0.495447, Angular velocity: 0.0112932
Received trajectory - Linear velocity: 0.495354, Angular velocity: 0.00965486
Received trajectory - Linear velocity: 0.495211, Angular velocity: 0.00795984
Received trajectory - Linear velocity: 0.495019, Angular velocity: 0.00623368
Received trajectory - Linear velocity: 0.494779, Angular velocity: 0.00447842
Received trajectory - Linear velocity: 0.494489, Angular velocity: 0.0027737
Received trajectory - Linear velocity: 0.494158, Angular velocity: 0.00135577
Received trajectory - Linear velocity: 0.493834, Angular velocity: 0.000240243
Received trajectory - Linear velocity: 0.493526, Angular velocity: -0.000534858
Received trajectory - Linear velocity: 0.493236, Angular velocity: -0.000868467
Received trajectory - Linear velocity: 0.492962, Angular velocity: -0.000755137
Received trajectory - Linear velocity: 0.492704, Angular velocity: -0.000366234
Received trajectory - Linear velocity: 0.492464, Angular velocity: -0.000109786
Received trajectory - Linear velocity: 0.49224, Angular velocity: -3.30684e-06
Received trajectory - Linear velocity: 0, Angular velocity: -1.51568e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51568e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51568e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51568e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51568e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51568e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51568e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51568e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51568e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51568e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51568e-30
