[2025-03-11_00-49-10.752] Received Bspline message - pos_pts size: 27, yaw_pts size: 65
Received trajectory - Linear velocity: 0.479672, Angular velocity: -0.10628
Received trajectory - Linear velocity: 0.480233, Angular velocity: -0.114959
Received trajectory - Linear velocity: 0.48081, Angular velocity: -0.121313
Received trajectory - Linear velocity: 0.481404, Angular velocity: -0.125401
Received trajectory - Linear velocity: 0.482009, Angular velocity: -0.127247
Received trajectory - Linear velocity: 0.482615, Angular velocity: -0.126867
Received trajectory - Linear velocity: 0.483221, Angular velocity: -0.124542
Received trajectory - Linear velocity: 0.483829, Angular velocity: -0.120376
Received trajectory - Linear velocity: 0.484437, Angular velocity: -0.114401
Received trajectory - Linear velocity: 0.485046, Angular velocity: -0.107081
Received trajectory - Linear velocity: 0.485655, Angular velocity: -0.0985702
Received trajectory - Linear velocity: 0.486265, Angular velocity: -0.0889154
Received trajectory - Linear velocity: 0.48687, Angular velocity: -0.0786877
Received trajectory - Linear velocity: 0.487467, Angular velocity: -0.0680584
Received trajectory - Linear velocity: 0.488055, Angular velocity: -0.0570792
Received trajectory - Linear velocity: 0.488634, Angular velocity: -0.0462946
Received trajectory - Linear velocity: 0.489204, Angular velocity: -0.0358508
Received trajectory - Linear velocity: 0.489766, Angular velocity: -0.0257925
Received trajectory - Linear velocity: 0.490319, Angular velocity: -0.0165243
Received trajectory - Linear velocity: 0.490862, Angular velocity: -0.00814268
Received trajectory - Linear velocity: 0.491382, Angular velocity: -0.000668624
Received trajectory - Linear velocity: 0.491875, Angular velocity: 0.00573522
Received trajectory - Linear velocity: 0.492342, Angular velocity: 0.0110343
Received trajectory - Linear velocity: 0.492784, Angular velocity: 0.0152384
Received trajectory - Linear velocity: 0.493199, Angular velocity: 0.0184136
Received trajectory - Linear velocity: 0.493588, Angular velocity: 0.0205721
Received trajectory - Linear velocity: 0.493952, Angular velocity: 0.0217567
Received trajectory - Linear velocity: 0.494285, Angular velocity: 0.022221
Received trajectory - Linear velocity: 0.494578, Angular velocity: 0.0220069
Received trajectory - Linear velocity: 0.49483, Angular velocity: 0.0211828
Received trajectory - Linear velocity: 0.495042, Angular velocity: 0.0201075
Received trajectory - Linear velocity: 0.495214, Angular velocity: 0.018833
Received trajectory - Linear velocity: 0.495346, Angular velocity: 0.0173889
Received trajectory - Linear velocity: 0.495437, Angular velocity: 0.0159138
Received trajectory - Linear velocity: 0.495488, Angular velocity: 0.014425
Received trajectory - Linear velocity: 0.495493, Angular velocity: 0.0129133
Received trajectory - Linear velocity: 0.495449, Angular velocity: 0.0113413
Received trajectory - Linear velocity: 0.495357, Angular velocity: 0.00970493
Received trajectory - Linear velocity: 0.495216, Angular velocity: 0.00801113
Received trajectory - Linear velocity: 0.495026, Angular velocity: 0.00628585
Received trajectory - Linear velocity: 0.494787, Angular velocity: 0.00453147
Received trajectory - Linear velocity: 0.494499, Angular velocity: 0.00282092
Received trajectory - Linear velocity: 0.494168, Angular velocity: 0.00139394
Received trajectory - Linear velocity: 0.493843, Angular velocity: 0.000269331
Received trajectory - Linear velocity: 0.493535, Angular velocity: -0.000517934
Received trajectory - Linear velocity: 0.493244, Angular velocity: -0.000864959
Received trajectory - Linear velocity: 0.49297, Angular velocity: -0.000765041
Received trajectory - Linear velocity: 0.492712, Angular velocity: -0.000376246
Received trajectory - Linear velocity: 0.492471, Angular velocity: -0.000115297
Received trajectory - Linear velocity: 0.492247, Angular velocity: -4.31914e-06
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
Received trajectory - Linear velocity: 0, Angular velocity: -1.51569e-30
