-------------------------
PID Controller Parameters:
Position PID: P: 0.5, I: 0, D: 3
Orientation PID: P: 0.5, I: 0, D: 3
Linear Velocity PID: P: 1, I: 0, D: 1
Angular Velocity PID: P: 1, I: 0, D: 0
-------------------------
Point[76]: time = 7.6, pos = (0.868196, 0, 0), vel = (0.283987, 0, 0), yaw = 0, yaw_dot = 0
Point[77]: time = 7.7, pos = (0.896827, 0, 0), vel = (0.288629, 0, 0), yaw = 0, yaw_dot = 0
Point[78]: time = 7.8, pos = (0.92592, 0, 0), vel = (0.293237, 0, 0), yaw = 0, yaw_dot = 0
Point[79]: time = 7.9, pos = (0.955473, 0, 0), vel = (0.297809, 0, 0), yaw = 0, yaw_dot = 0
Point[80]: time = 8, pos = (0.985481, 0, 0), vel = (0.302347, 0, 0), yaw = 0, yaw_dot = 0
Point[81]: time = 8.1, pos = (1.01594, 0, 0), vel = (0.30685, 0, 0), yaw = 0, yaw_dot = 0
Point[82]: time = 8.2, pos = (1.04685, 0, 0), vel = (0.311317, 0, 0), yaw = 0, yaw_dot = 0
Point[83]: time = 8.3, pos = (1.0782, 0, 0), vel = (0.31575, 0, 0), yaw = 0, yaw_dot = 0
Point[84]: time = 8.4, pos = (1.11, 0, 0), vel = (0.320142, 0, 0), yaw = 0, yaw_dot = 0
Point[85]: time = 8.5, pos = (1.14223, 0, 0), vel = (0.324488, 0, 0), yaw = 0, yaw_dot = 0
Point[86]: time = 8.6, pos = (1.17489, 0, 0), vel = (0.328788, 0, 0), yaw = 0, yaw_dot = 0
Point[87]: time = 8.7, pos = (1.20799, 0, 0), vel = (0.333042, 0, 0), yaw = 0, yaw_dot = 0
Point[88]: time = 8.8, pos = (1.2415, 0, 0), vel = (0.337249, 0, 0), yaw = 0, yaw_dot = 0
Point[89]: time = 8.9, pos = (1.27543, 0, 0), vel = (0.341411, 0, 0), yaw = 0, yaw_dot = 0
Point[90]: time = 9, pos = (1.30978, 0, 0), vel = (0.345526, 0, 0), yaw = 0, yaw_dot = 0
Point[91]: time = 9.1, pos = (1.34454, 0, 0), vel = (0.349596, 0, 0), yaw = 0, yaw_dot = 0
Point[92]: time = 9.2, pos = (1.3797, 0, 0), vel = (0.353619, 0, 0), yaw = 0, yaw_dot = 0
Point[93]: time = 9.3, pos = (1.41526, 0, 0), vel = (0.357594, 0, 0), yaw = 0, yaw_dot = 0
Point[94]: time = 9.4, pos = (1.45122, 0, 0), vel = (0.361515, 0, 0), yaw = 0, yaw_dot = 0
Point[95]: time = 9.5, pos = (1.48756, 0, 0), vel = (0.365382, 0, 0), yaw = 0, yaw_dot = 0
Point[96]: time = 9.6, pos = (1.52429, 0, 0), vel = (0.369194, 0, 0), yaw = 0, yaw_dot = 0
Point[97]: time = 9.7, pos = (1.5614, 0, 0), vel = (0.372953, 0, 0), yaw = 0, yaw_dot = 0
Point[98]: time = 9.8, pos = (1.59888, 0, 0), vel = (0.376658, 0, 0), yaw = 0, yaw_dot = 0
Point[99]: time = 9.9, pos = (1.63673, 0, 0), vel = (0.380309, 0, 0), yaw = 0, yaw_dot = 0
Point[100]: time = 10, pos = (1.67494, 0, 0), vel = (0.383906, 0, 0), yaw = 0, yaw_dot = 0
Point[101]: time = 10.1, pos = (1.71351, 0, 0), vel = (0.387449, 0, 0), yaw = 0, yaw_dot = 0
Point[102]: time = 10.2, pos = (1.75243, 0, 0), vel = (0.390936, 0, 0), yaw = 0, yaw_dot = 0
Point[103]: time = 10.3, pos = (1.79169, 0, 0), vel = (0.394366, 0, 0), yaw = 0, yaw_dot = 0
Point[104]: time = 10.4, pos = (1.8313, 0, 0), vel = (0.397737, 0, 0), yaw = 0, yaw_dot = 0
Point[105]: time = 10.5, pos = (1.87124, 0, 0), vel = (0.401049, 0, 0), yaw = 0, yaw_dot = 0
Point[106]: time = 10.6, pos = (1.91151, 0, 0), vel = (0.404303, 0, 0), yaw = 0, yaw_dot = 0
Point[107]: time = 10.7, pos = (1.9521, 0, 0), vel = (0.407497, 0, 0), yaw = 0, yaw_dot = 0
Point[108]: time = 10.8, pos = (1.993, 0, 0), vel = (0.410634, 0, 0), yaw = 0, yaw_dot = 0
Point[109]: time = 10.9, pos = (2.03422, 0, 0), vel = (0.413711, 0, 0), yaw = 0, yaw_dot = 0
Point[110]: time = 11, pos = (2.07574, 0, 0), vel = (0.41673, 0, 0), yaw = 0, yaw_dot = 0
Point[111]: time = 11.1, pos = (2.11757, 0, 0), vel = (0.41969, 0, 0), yaw = 0, yaw_dot = 0
Point[112]: time = 11.2, pos = (2.15968, 0, 0), vel = (0.42259, 0, 0), yaw = 0, yaw_dot = 0
Point[113]: time = 11.3, pos = (2.20208, 0, 0), vel = (0.425429, 0, 0), yaw = 0, yaw_dot = 0
Point[114]: time = 11.4, pos = (2.24476, 0, 0), vel = (0.428209, 0, 0), yaw = 0, yaw_dot = 0
Point[115]: time = 11.5, pos = (2.28772, 0, 0), vel = (0.430928, 0, 0), yaw = 0, yaw_dot = 0
Point[116]: time = 11.6, pos = (2.33095, 0, 0), vel = (0.433588, 0, 0), yaw = 0, yaw_dot = 0
Point[117]: time = 11.7, pos = (2.37444, 0, 0), vel = (0.436187, 0, 0), yaw = 0, yaw_dot = 0
Point[118]: time = 11.8, pos = (2.41818, 0, 0), vel = (0.438726, 0, 0), yaw = 0, yaw_dot = 0
Point[119]: time = 11.9, pos = (2.46218, 0, 0), vel = (0.441205, 0, 0), yaw = 0, yaw_dot = 0
Point[120]: time = 12, pos = (2.50642, 0, 0), vel = (0.443623, 0, 0), yaw = 0, yaw_dot = 0
Point[121]: time = 12.1, pos = (2.5509, 0, 0), vel = (0.445983, 0, 0), yaw = 0, yaw_dot = 0
Point[122]: time = 12.2, pos = (2.59562, 0, 0), vel = (0.448284, 0, 0), yaw = 0, yaw_dot = 0
Point[123]: time = 12.3, pos = (2.64056, 0, 0), vel = (0.450527, 0, 0), yaw = 0, yaw_dot = 0
Point[124]: time = 12.4, pos = (2.68572, 0, 0), vel = (0.452711, 0, 0), yaw = 0, yaw_dot = 0
Point[125]: time = 12.5, pos = (2.7311, 0, 0), vel = (0.454837, 0, 0), yaw = 0, yaw_dot = 0
Point[126]: time = 12.6, pos = (2.77669, 0, 0), vel = (0.456905, 0, 0), yaw = 0, yaw_dot = 0
Point[127]: time = 12.7, pos = (2.82248, 0, 0), vel = (0.458914, 0, 0), yaw = 0, yaw_dot = 0
Point[128]: time = 12.8, pos = (2.86847, 0, 0), vel = (0.460864, 0, 0), yaw = 0, yaw_dot = 0
Point[129]: time = 12.9, pos = (2.91465, 0, 0), vel = (0.462757, 0, 0), yaw = 0, yaw_dot = 0
Point[130]: time = 13, pos = (2.96102, 0, 0), vel = (0.464593, 0, 0), yaw = 0, yaw_dot = 0
Point[131]: time = 13.1, pos = (3.00757, 0, 0), vel = (0.466376, 0, 0), yaw = 0, yaw_dot = 0
Point[132]: time = 13.2, pos = (3.05429, 0, 0), vel = (0.468105, 0, 0), yaw = 0, yaw_dot = 0
Point[133]: time = 13.3, pos = (3.10118, 0, 0), vel = (0.469781, 0, 0), yaw = 0, yaw_dot = 0
Point[134]: time = 13.4, pos = (3.14824, 0, 0), vel = (0.471403, 0, 0), yaw = 0, yaw_dot = 0
Point[135]: time = 13.5, pos = (3.19546, 0, 0), vel = (0.472972, 0, 0), yaw = 0, yaw_dot = 0
Point[136]: time = 13.6, pos = (3.24284, 0, 0), vel = (0.474488, 0, 0), yaw = 0, yaw_dot = 0
Point[137]: time = 13.7, pos = (3.29036, 0, 0), vel = (0.47595, 0, 0), yaw = 0, yaw_dot = 0
Point[138]: time = 13.8, pos = (3.33802, 0, 0), vel = (0.477359, 0, 0), yaw = 0, yaw_dot = 0
Point[139]: time = 13.9, pos = (3.38583, 0, 0), vel = (0.478716, 0, 0), yaw = 0, yaw_dot = 0
Point[140]: time = 14, pos = (3.43377, 0, 0), vel = (0.480028, 0, 0), yaw = 0, yaw_dot = 0
Point[141]: time = 14.1, pos = (3.48183, 0, 0), vel = (0.481295, 0, 0), yaw = 0, yaw_dot = 0
Point[142]: time = 14.2, pos = (3.53002, 0, 0), vel = (0.482517, 0, 0), yaw = 0, yaw_dot = 0
Point[143]: time = 14.3, pos = (3.57834, 0, 0), vel = (0.483694, 0, 0), yaw = 0, yaw_dot = 0
Point[144]: time = 14.4, pos = (3.62676, 0, 0), vel = (0.484825, 0, 0), yaw = 0, yaw_dot = 0
Point[145]: time = 14.5, pos = (3.6753, 0, 0), vel = (0.485912, 0, 0), yaw = 0, yaw_dot = 0
Point[146]: time = 14.6, pos = (3.72394, 0, 0), vel = (0.486953, 0, 0), yaw = 0, yaw_dot = 0
Point[147]: time = 14.7, pos = (3.77269, 0, 0), vel = (0.487949, 0, 0), yaw = 0, yaw_dot = 0
Point[148]: time = 14.8, pos = (3.82153, 0, 0), vel = (0.488902, 0, 0), yaw = 0, yaw_dot = 0
Point[149]: time = 14.9, pos = (3.87047, 0, 0), vel = (0.489817, 0, 0), yaw = 0, yaw_dot = 0
Point[150]: time = 15, pos = (3.91949, 0, 0), vel = (0.490697, 0, 0), yaw = 0, yaw_dot = 0
Point[151]: time = 15.1, pos = (3.96861, 0, 0), vel = (0.491542, 0, 0), yaw = 0, yaw_dot = 0
Point[152]: time = 15.2, pos = (4.0178, 0, 0), vel = (0.49235, 0, 0), yaw = 0, yaw_dot = 0
Point[153]: time = 15.3, pos = (4.06707, 0, 0), vel = (0.493123, 0, 0), yaw = 0, yaw_dot = 0
Point[154]: time = 15.4, pos = (4.11642, 0, 0), vel = (0.493861, 0, 0), yaw = 0, yaw_dot = 0
Point[155]: time = 15.5, pos = (4.16584, 0, 0), vel = (0.494562, 0, 0), yaw = 0, yaw_dot = 0
Point[156]: time = 15.6, pos = (4.21533, 0, 0), vel = (0.495228, 0, 0), yaw = 0, yaw_dot = 0
Point[157]: time = 15.7, pos = (4.26489, 0, 0), vel = (0.495859, 0, 0), yaw = 0, yaw_dot = 0
Point[158]: time = 15.8, pos = (4.31451, 0, 0), vel = (0.49646, 0, 0), yaw = 0, yaw_dot = 0
Point[159]: time = 15.9, pos = (4.36418, 0, 0), vel = (0.497033, 0, 0), yaw = 0, yaw_dot = 0
Point[160]: time = 16, pos = (4.41391, 0, 0), vel = (0.497579, 0, 0), yaw = 0, yaw_dot = 0
Point[161]: time = 16.1, pos = (4.4637, 0, 0), vel = (0.498098, 0, 0), yaw = 0, yaw_dot = 0
Point[162]: time = 16.2, pos = (4.51353, 0, 0), vel = (0.498589, 0, 0), yaw = 0, yaw_dot = 0
Point[163]: time = 16.3, pos = (4.56341, 0, 0), vel = (0.499053, 0, 0), yaw = 0, yaw_dot = 0
Point[164]: time = 16.4, pos = (4.61334, 0, 0), vel = (0.499489, 0, 0), yaw = 0, yaw_dot = 0
Point[165]: time = 16.5, pos = (4.66331, 0, 0), vel = (0.499898, 0, 0), yaw = 0, yaw_dot = 0
Point[166]: time = 16.6, pos = (4.71332, 0, 0), vel = (0.500279, 0, 0), yaw = 0, yaw_dot = 0
Point[167]: time = 16.7, pos = (4.76336, 0, 0), vel = (0.500637, 0, 0), yaw = 0, yaw_dot = 0
Point[168]: time = 16.8, pos = (4.81344, 0, 0), vel = (0.500975, 0, 0), yaw = 0, yaw_dot = 0
Point[169]: time = 16.9, pos = (4.86356, 0, 0), vel = (0.501292, 0, 0), yaw = 0, yaw_dot = 0
Point[170]: time = 17, pos = (4.9137, 0, 0), vel = (0.501589, 0, 0), yaw = 0, yaw_dot = 0
Point[171]: time = 17.1, pos = (4.96388, 0, 0), vel = (0.501866, 0, 0), yaw = 0, yaw_dot = 0
Point[172]: time = 17.2, pos = (5.01408, 0, 0), vel = (0.502123, 0, 0), yaw = 0, yaw_dot = 0
Point[173]: time = 17.3, pos = (5.0643, 0, 0), vel = (0.502359, 0, 0), yaw = 0, yaw_dot = 0
Point[174]: time = 17.4, pos = (5.11455, 0, 0), vel = (0.502575, 0, 0), yaw = 0, yaw_dot = 0
Point[175]: time = 17.5, pos = (5.16481, 0, 0), vel = (0.502771, 0, 0), yaw = 0, yaw_dot = 0
Point[176]: time = 17.6, pos = (5.2151, 0, 0), vel = (0.502949, 0, 0), yaw = 0, yaw_dot = 0
Point[177]: time = 17.7, pos = (5.2654, 0, 0), vel = (0.503112, 0, 0), yaw = 0, yaw_dot = 0
Point[178]: time = 17.8, pos = (5.31572, 0, 0), vel = (0.503262, 0, 0), yaw = 0, yaw_dot = 0
Point[179]: time = 17.9, pos = (5.36606, 0, 0), vel = (0.503397, 0, 0), yaw = 0, yaw_dot = 0
Point[180]: time = 18, pos = (5.4164, 0, 0), vel = (0.503518, 0, 0), yaw = 0, yaw_dot = 0
Point[181]: time = 18.1, pos = (5.46676, 0, 0), vel = (0.503624, 0, 0), yaw = 0, yaw_dot = 0
Point[182]: time = 18.2, pos = (5.51713, 0, 0), vel = (0.503717, 0, 0), yaw = 0, yaw_dot = 0
Point[183]: time = 18.3, pos = (5.5675, 0, 0), vel = (0.503795, 0, 0), yaw = 0, yaw_dot = 0
Point[184]: time = 18.4, pos = (5.61788, 0, 0), vel = (0.503859, 0, 0), yaw = 0, yaw_dot = 0
Point[185]: time = 18.5, pos = (5.66827, 0, 0), vel = (0.50391, 0, 0), yaw = 0, yaw_dot = 0
Point[186]: time = 18.6, pos = (5.71867, 0, 0), vel = (0.503952, 0, 0), yaw = 0, yaw_dot = 0
Point[187]: time = 18.7, pos = (5.76906, 0, 0), vel = (0.503985, 0, 0), yaw = 0, yaw_dot = 0
Point[188]: time = 18.8, pos = (5.81946, 0, 0), vel = (0.504008, 0, 0), yaw = 0, yaw_dot = 0
Point[189]: time = 18.9, pos = (5.86986, 0, 0), vel = (0.504023, 0, 0), yaw = 0, yaw_dot = 0
Point[190]: time = 19, pos = (5.92027, 0, 0), vel = (0.504029, 0, 0), yaw = 0, yaw_dot = 0
Point[191]: time = 19.1, pos = (5.97067, 0, 0), vel = (0.504025, 0, 0), yaw = 0, yaw_dot = 0
Point[192]: time = 19.2, pos = (6.02107, 0, 0), vel = (0.504013, 0, 0), yaw = 0, yaw_dot = 0
Point[193]: time = 19.3, pos = (6.07147, 0, 0), vel = (0.503992, 0, 0), yaw = 0, yaw_dot = 0
Point[194]: time = 19.4, pos = (6.12187, 0, 0), vel = (0.503962, 0, 0), yaw = 0, yaw_dot = 0
Point[195]: time = 19.5, pos = (6.17226, 0, 0), vel = (0.503926, 0, 0), yaw = 0, yaw_dot = 0
Point[196]: time = 19.6, pos = (6.22265, 0, 0), vel = (0.503885, 0, 0), yaw = 0, yaw_dot = 0
Point[197]: time = 19.7, pos = (6.27304, 0, 0), vel = (0.503838, 0, 0), yaw = 0, yaw_dot = 0
